CustomerID,Age,TypeofContact,CityTier,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
200025,53,Self Enquiry,1,Salaried,Female,2,3,Premium,3,Married,5,0,5,0,1,VP,34094
200026,22,Company Invited,1,Salaried,Female,3,5,Basic,5,Single,2,1,4,1,2,Executive,16000
200027,42,Self Enquiry,3,Small Business,Male,2,3,Premium,4,Divorced,1,0,3,0,1,Manager,21825
200028,44,Self Enquiry,1,Small Business,Female,2,4,Premium,3,Divorced,4,0,4,1,0,Senior Manager,25248
200029,46,Self Enquiry,3,Small Business,Female,2,3,Premium,5,Single,4,0,2,0,1,VP,33947
200030,33,Self Enquiry,1,Small Business,Male,3,3,Basic,3,Single,5,0,3,1,2,Executive,17496
200031,44,Self Enquiry,1,Salaried,Male,2,3,Basic,3,Divorced,3,1,3,1,1,Manager,21465
200032,30,Self Enquiry,1,Small Business,Male,2,4,Basic,3,Single,2,0,4,1,1,Executive,17206
200033,39,Self Enquiry,3,Large Business,Male,2,3,Basic,3,Divorced,4,0,2,0,1,Manager,17086
200034,24,Self Enquiry,1,Small Business,Male,3,3,Basic,3,Divorced,3,1,3,1,2,Executive,17293
200035,43,Self Enquiry,1,Small Business,Female,3,2,Basic,3,Married,2,0,2,0,1,Executive,17645
200036,50,Self Enquiry,3,Small Business,Male,2,4,Basic,3,Divorced,2,1,4,0,0,Executive,17683
200037,35,Self Enquiry,3,Small Business,Female,3,3,Basic,3,Divorced,2,0,2,1,0,Executive,17014
200038,36,Self Enquiry,1,Salaried,Female,2,4,Premium,3,Divorced,1,1,2,1,0,VP,95000
200039,33,Company Invited,3,Salaried,Female,2,2,Basic,5,Divorced,3,0,3,1,0,Manager,20376
200040,35,Self Enquiry,1,Salaried,Male,3,3,Basic,3,Married,2,0,4,0,0,Executive,16951
200041,27,Self Enquiry,1,Salaried,Female,2,3,Basic,5,Married,2,0,3,0,1,Executive,17341
200042,26,Self Enquiry,1,Salaried,Male,2,5,Basic,3,Single,2,0,2,1,1,Executive,17293
200043,27,Company Invited,3,Salaried,Male,2,3,Premium,3,Unmarried,2,0,2,1,0,Senior Manager,23726
200044,30,Company Invited,1,Small Business,Female,2,3,Premium,3,Single,2,0,3,1,0,Manager,20000
200045,41,Self Enquiry,1,Large Business,Female,2,3,Premium,3,Divorced,2,0,4,1,0,VP,34545
200046,34,Company Invited,3,Small Business,Male,3,3,Basic,3,Single,1,0,5,1,1,Manager,19568
200047,37,Self Enquiry,1,Salaried,Male,3,3,Basic,4,Divorced,5,0,4,1,1,Executive,18022
200048,46,Company Invited,3,Small Business,Male,3,3,Premium,3,Single,5,1,5,1,1,Manager,20772
200049,35,Self Enquiry,1,Salaried,Male,2,2,Basic,3,Divorced,2,0,5,1,1,Executive,17269
200050,48,Self Enquiry,1,Salaried,Male,3,4,Basic,3,Single,1,1,5,0,2,Senior Manager,20381
200051,36,Self Enquiry,1,Large Business,Male,2,3,Basic,3,Single,2,1,2,1,0,Executive,18441
200052,44,Self Enquiry,3,Small Business,Female,3,3,Premium,5,Married,6,1,2,0,0,Manager,20454
200053,35,Company Invited,1,Small Business,Male,3,4,Premium,5,Divorced,3,1,5,1,1,Senior Manager,24884
200054,30,Self Enquiry,3,Small Business,Female,2,4,Premium,3,Divorced,1,1,2,1,0,Manager,20000
200055,33,Company Invited,1,Salaried,Female,3,3,Premium,3,Unmarried,2,1,2,1,0,Senior Manager,28458
200056,35,Company Invited,3,Salaried,Male,3,3,Premium,5,Divorced,2,0,4,1,0,Senior Manager,24069
200057,30,Self Enquiry,1,Small Business,Female,1,3,Basic,5,Divorced,4,1,4,1,0,Executive,16000
200058,31,Self Enquiry,1,Salaried,Male,2,3,Basic,3,Married,4,0,3,1,0,Manager,20915
200059,37,Self Enquiry,1,Salaried,Male,2,4,Basic,3,Married,2,0,5,1,1,Manager,20993
200060,32,Self Enquiry,1,Small Business,Male,2,3,Premium,3,Divorced,2,1,4,1,0,Manager,21162
200061,38,Company Invited,1,Salaried,Female,2,3,Basic,3,Single,2,0,3,1,0,Manager,17406
200062,50,Self Enquiry,1,Small Business,Female,2,4,Premium,3,Married,6,1,4,1,1,VP,33740
200063,59,Self Enquiry,3,Salaried,Female,2,3,Premium,5,Unmarried,1,0,3,1,0,Senior Manager,22637
200064,36,Self Enquiry,1,Large Business,Female,2,3,Premium,3,Married,2,0,4,1,1,Senior Manager,25096
200065,55,Self Enquiry,1,Small Business,Female,2,3,Premium,3,Married,3,1,3,0,1,AVP,29756
200066,36,Company Invited,1,Salaried,Male,3,4,Basic,4,Unmarried,2,0,4,1,1,Manager,21499
200067,45,Self Enquiry,1,Salaried,Male,2,3,Premium,5,Married,3,0,3,1,1,Senior Manager,24724
200068,35,Company Invited,1,Small Business,Male,3,3,Basic,5,Divorced,5,0,2,0,1,Executive,17194
200069,30,Self Enquiry,1,Small Business,Male,3,4,Basic,3,Divorced,1,1,2,0,1,Executive,18388
200070,59,Company Invited,3,Salaried,Female,2,4,Basic,3,Single,1,0,5,1,1,Manager,20473
200071,29,Self Enquiry,1,Salaried,Male,3,3,Basic,4,Divorced,1,0,4,0,0,Executive,17703
200072,31,Self Enquiry,1,Small Business,Male,2,3,Basic,4,Single,2,0,3,0,0,Executive,17501
200073,32,Self Enquiry,1,Salaried,Male,3,3,Basic,4,Divorced,2,0,3,0,0,Manager,21220
200074,36,Self Enquiry,1,Salaried,Female,2,2,Basic,3,Divorced,4,0,2,0,0,Manager,18038
200075,31,Self Enquiry,1,Salaried,Female,3,3,Premium,3,Single,2,0,5,0,1,Manager,20000
200076,35,Self Enquiry,3,Small Business,Male,2,4,Premium,5,Single,1,0,2,0,1,Manager,20000
200077,45,Self Enquiry,1,Salaried,Male,2,3,Premium,5,Divorced,5,1,3,0,0,Senior Manager,28245
200078,37,Self Enquiry,1,Small Business,Male,1,3,Premium,3,Single,5,0,2,0,0,Senior Manager,28664
200079,46,Self Enquiry,2,Small Business,Male,3,3,Premium,4,Married,1,1,5,0,1,Manager,20021
200080,30,Self Enquiry,1,Salaried,Male,2,4,Basic,3,Divorced,2,1,2,1,1,Manager,20126
200081,35,Self Enquiry,1,Small Business,Male,1,4,Basic,3,Single,2,0,4,1,0,Executive,17859
200082,55,Self Enquiry,3,Salaried,Male,3,3,Premium,3,Divorced,4,0,2,0,1,Senior Manager,25239
200083,38,Company Invited,1,Small Business,Female,3,5,Premium,3,Married,1,1,2,0,2,Manager,20329
200084,34,Self Enquiry,1,Small Business,Male,3,3,Premium,4,Divorced,2,0,5,0,0,Manager,20000
200085,56,Self Enquiry,1,Salaried,Male,2,5,Premium,3,Unmarried,5,0,2,0,0,Senior Manager,22260
200086,23,Self Enquiry,3,Large Business,Male,3,3,Basic,5,Married,4,0,3,1,1,Executive,17322
200087,51,Self Enquiry,1,Salaried,Male,3,3,Basic,3,Divorced,4,0,3,1,0,Executive,17075
200088,22,Self Enquiry,1,Salaried,Male,2,4,Basic,3,Divorced,2,0,4,1,0,Manager,20000
200089,46,Self Enquiry,3,Small Business,Male,3,4,Premium,3,Unmarried,2,0,5,0,1,Senior Manager,24619
200090,40,Company Invited,1,Salaried,Male,3,4,Premium,4,Divorced,2,0,2,1,2,AVP,28503
200091,51,Self Enquiry,3,Small Business,Male,3,3,Premium,3,Single,1,1,5,1,1,Manager,20441
200092,30,Self Enquiry,3,Small Business,Female,3,4,Premium,4,Married,2,1,3,1,1,Manager,20209
200093,46,Company Invited,1,Small Business,Male,2,4,Premium,5,Divorced,3,1,2,1,1,Senior Manager,25673
200094,32,Self Enquiry,3,Small Business,Male,2,3,Premium,3,Single,2,0,5,1,0,Manager,20010
200095,54,Self Enquiry,1,Large Business,Female,2,3,Premium,3,Divorced,1,0,4,1,0,Senior Manager,28549
200096,24,Self Enquiry,3,Salaried,Female,2,3,Basic,3,Divorced,1,0,4,1,0,Manager,19999
200097,30,Company Invited,3,Small Business,Male,2,3,Premium,3,Divorced,2,0,2,1,0,Manager,20000
200098,58,Self Enquiry,3,Small Business,Male,2,3,Premium,3,Single,1,0,3,1,1,AVP,28872
200099,44,Company Invited,1,Small Business,Male,3,3,Basic,4,Divorced,5,0,3,1,0,Manager,17042
200100,37,Self Enquiry,2,Salaried,Male,3,3,Basic,5,Married,5,1,2,1,0,Executive,17073
200101,32,Self Enquiry,1,Salaried,Male,3,3,Basic,5,Single,2,0,2,0,2,Executive,17956
200102,20,Company Invited,1,Salaried,Female,3,4,Basic,3,Single,2,1,2,1,1,Executive,17926
200103,34,Self Enquiry,1,Salaried,Female,2,3,Basic,3,Single,2,0,3,1,0,Manager,19809
200104,37,Company Invited,1,Salaried,Male,3,4,Basic,3,Married,6,0,2,0,1,Manager,20163
200105,59,Company Invited,2,Salaried,Female,2,4,Premium,3,Divorced,1,0,2,1,1,VP,33844
200106,50,Company Invited,1,Salaried,Female,3,3,Premium,4,Divorced,4,1,2,0,2,VP,33172
200107,25,Self Enquiry,3,Small Business,Male,2,4,Premium,3,Single,2,1,3,1,0,Manager,20744
200108,25,Self Enquiry,1,Small Business,Male,3,4,Basic,3,Divorced,2,0,2,1,2,Executive,17889
200109,22,Self Enquiry,1,Small Business,Female,2,3,Basic,3,Single,2,0,2,1,1,Executive,17871
200110,51,Company Invited,1,Small Business,Female,1,4,Premium,5,Unmarried,4,0,2,1,0,Senior Manager,22484
200111,34,Company Invited,1,Salaried,Male,3,5,Basic,3,Single,2,1,5,1,1,Manager,21074
200112,54,Company Invited,2,Salaried,Female,1,2,Premium,3,Single,3,1,3,1,0,AVP,32328
200113,24,Self Enquiry,1,Salaried,Male,2,3,Basic,3,Divorced,1,0,4,1,0,Executive,17774
200114,34,Self Enquiry,1,Salaried,Female,2,4,Basic,4,Married,7,0,3,0,1,Manager,19505
200115,37,Self Enquiry,3,Salaried,Male,2,3,Premium,3,Unmarried,3,0,3,0,0,Senior Manager,22428
200116,34,Self Enquiry,1,Small Business,Female,2,4,Premium,5,Unmarried,3,0,2,0,0,Senior Manager,26631
200117,36,Company Invited,3,Large Business,Female,3,3,Premium,3,Divorced,1,0,5,0,0,Senior Manager,24738
200118,36,Self Enquiry,1,Salaried,Female,2,3,Basic,3,Married,6,0,2,1,0,Executive,17835
200119,43,Company Invited,3,Salaried,Male,3,3,Premium,3,Divorced,2,1,2,0,0,AVP,31959
200120,30,Company Invited,1,Salaried,Male,3,5,Basic,3,Married,2,0,3,1,2,Executive,17613
200121,33,Company Invited,3,Small Business,Male,3,3,Premium,4,Divorced,1,0,2,0,1,Manager,21146
200122,56,Self Enquiry,1,Salaried,Female,3,3,Basic,4,Divorced,1,1,5,1,1,Executive,19963
200123,51,Self Enquiry,1,Salaried,Male,2,3,Premium,3,Single,1,0,5,1,0,VP,34537
200124,31,Self Enquiry,3,Salaried,Male,3,5,Basic,3,Divorced,5,1,3,1,1,Manager,21172
200125,26,Self Enquiry,1,Salaried,Female,2,4,Basic,4,Divorced,2,0,3,1,0,Executive,17368
200126,58,Self Enquiry,1,Small Business,Female,3,3,Premium,3,Divorced,2,0,3,1,0,Senior Manager,25312
200127,19,Self Enquiry,3,Small Business,Male,2,3,Basic,3,Single,2,1,2,0,1,Executive,16675
200128,22,Self Enquiry,1,Large Business,Male,3,3,Basic,3,Divorced,1,0,5,1,2,Executive,17523
200129,49,Self Enquiry,1,Small Business,Female,3,3,Premium,5,Divorced,2,0,2,1,2,Manager,21567
200130,43,Company Invited,1,Small Business,Female,3,2,Basic,3,Single,5,0,3,0,2,Executive,19739
200131,50,Company Invited,3,Small Business,Female,3,3,Premium,3,Unmarried,5,0,5,0,0,Senior Manager,24208
200132,31,Self Enquiry,3,Salaried,Female,3,5,Basic,3,Divorced,4,1,3,1,0,Manager,19559
200133,41,Self Enquiry,3,Salaried,Male,3,3,Premium,3,Married,4,1,2,0,1,Senior Manager,23189
200134,26,Self Enquiry,2,Salaried,Female,3,3,Basic,3,Divorced,2,0,4,1,0,Executive,17942
200135,36,Self Enquiry,1,Small Business,Male,2,3,Basic,4,Married,7,0,4,1,1,Manager,19941
200136,51,Company Invited,1,Salaried,Male,2,5,Premium,3,Unmarried,3,0,2,0,1,Senior Manager,25650
200137,39,Self Enquiry,3,Salaried,Female,2,4,Basic,3,Divorced,5,0,5,1,0,Manager,20902
200138,25,Self Enquiry,3,Salaried,Male,2,4,Premium,3,Divorced,3,0,4,0,0,Manager,23639
200139,30,Self Enquiry,2,Salaried,Male,2,3,Basic,3,Divorced,1,1,3,1,1,Manager,21347
200140,30,Self Enquiry,1,Small Business,Female,2,3,Basic,5,Single,1,0,4,1,1,Executive,16000
200141,30,Self Enquiry,1,Small Business,Male,2,3,Basic,3,Single,6,0,2,1,0,Executive,18452
200142,38,Self Enquiry,1,Large Business,Female,2,3,Premium,3,Single,4,1,5,0,0,Manager,24510
200143,30,Self Enquiry,1,Salaried,Female,3,3,Basic,3,Single,2,0,2,1,0,Executive,17632
200144,32,Company Invited,3,Small Business,Male,2,5,Basic,3,Married,1,0,2,0,1,Manager,19668
200145,30,Self Enquiry,1,Large Business,Female,2,3,Basic,5,Married,6,0,5,1,1,Executive,18204
200146,30,Self Enquiry,1,Small Business,Male,2,4,Basic,3,Single,1,0,4,0,0,Executive,17720
200147,41,Company Invited,1,Salaried,Male,3,4,Premium,5,Married,5,0,2,1,0,AVP,32181
200148,41,Self Enquiry,1,Salaried,Male,3,3,Basic,5,Divorced,3,0,2,0,2,Executive,17238
200149,19,Self Enquiry,1,Small Business,Female,3,3,Basic,4,Single,2,0,3,1,2,Executive,16483
200150,40,Company Invited,1,Small Business,Female,2,3,Premium,4,Married,2,0,2,1,0,Manager,20605
200151,35,Self Enquiry,3,Small Business,Male,3,3,Premium,4,Divorced,2,0,4,1,2,Senior Manager,22295
200152,53,Self Enquiry,3,Small Business,Male,2,3,Basic,3,Divorced,3,1,5,0,0,Manager,17306
200153,45,Self Enquiry,1,Salaried,Male,2,3,Basic,4,Married,1,0,4,1,0,Manager,17348
200154,32,Company Invited,3,Small Business,Female,2,3,Premium,3,Unmarried,2,0,4,1,1,Senior Manager,23998
200155,29,Company Invited,1,Large Business,Male,2,3,Premium,3,Divorced,2,0,3,0,1,Manager,20000
200156,51,Self Enquiry,1,Small Business,Male,2,4,Premium,3,Divorced,3,0,3,1,1,Manager,21132
200157,58,Self Enquiry,1,Small Business,Female,3,4,Basic,4,Divorced,5,1,2,1,0,Executive,18346
200158,40,Self Enquiry,3,Small Business,Male,3,4,Premium,3,Divorced,1,0,2,1,0,Senior Manager,25855
200159,34,Company Invited,3,Small Business,Female,3,3,Basic,3,Divorced,7,0,5,1,2,Executive,17231
200160,22,Self Enquiry,1,Small Business,Male,3,3,Basic,3,Divorced,2,0,2,0,1,Executive,17323
200161,27,Company Invited,1,Small Business,Male,2,3,Basic,4,Married,7,0,3,0,0,Executive,17024
200162,28,Self Enquiry,1,Small Business,Male,2,3,Basic,3,Divorced,2,0,2,0,0,Executive,17713
200163,57,Self Enquiry,1,Salaried,Male,2,2,Premium,3,Married,4,1,4,1,1,Senior Manager,24439
200164,27,Company Invited,1,Small Business,Male,3,4,Basic,3,Married,2,1,2,0,2,Executive,17566
200165,50,Self Enquiry,1,Salaried,Female,2,3,Premium,4,Single,4,0,5,1,0,VP,34926
200166,41,Self Enquiry,1,Salaried,Male,2,3,Basic,3,Married,5,0,4,1,1,Executive,17451
200167,30,Self Enquiry,3,Salaried,Female,2,3,Premium,3,Divorced,3,0,4,1,1,Senior Manager,24419
200168,38,Self Enquiry,3,Salaried,Female,2,4,Premium,3,Unmarried,5,0,2,1,1,Manager,23686
200169,32,Self Enquiry,1,Salaried,Male,2,3,Basic,3,Single,4,0,2,0,1,Executive,18038
200170,27,Self Enquiry,1,Large Business,Male,2,3,Basic,4,Divorced,1,1,4,1,0,Executive,18058
200171,19,Company Invited,3,Large Business,Female,3,5,Basic,5,Single,1,0,3,1,1,Executive,17325
200172,36,Company Invited,1,Small Business,Male,1,3,Basic,4,Single,5,0,4,1,0,Executive,17088
200173,30,Company Invited,1,Small Business,Male,3,3,Basic,5,Married,2,0,2,0,1,Manager,18072
200174,45,Self Enquiry,3,Salaried,Female,1,3,Basic,5,Married,5,1,4,0,0,Manager,20006
200175,56,Self Enquiry,1,Salaried,Female,3,3,Basic,5,Married,5,1,4,1,1,Executive,16000
200176,33,Self Enquiry,1,Salaried,Male,2,3,Basic,3,Single,1,0,3,0,1,Executive,17500
200177,19,Self Enquiry,1,Salaried,Male,2,4,Basic,3,Single,2,0,5,0,0,Executive,16102
200178,46,Self Enquiry,3,Small Business,Female,3,3,Premium,5,Married,2,0,2,1,1,Senior Manager,25453
200179,38,Self Enquiry,1,Salaried,Female,3,3,Basic,3,Single,2,0,2,1,1,Executive,17288
200180,30,Self Enquiry,1,Small Business,Female,3,3,Basic,3,Divorced,1,1,4,1,2,Executive,16000
200181,34,Self Enquiry,1,Small Business,Female,3,3,Basic,4,Single,3,0,3,1,0,Executive,17311
200182,41,Self Enquiry,3,Small Business,Female,3,3,Basic,4,Single,2,1,4,0,2,Executive,18140
200183,30,Self Enquiry,1,Small Business,Male,2,4,Basic,3,Divorced,3,0,3,0,0,Executive,18690
200184,53,Self Enquiry,1,Small Business,Female,2,2,Premium,5,Married,2,0,2,1,1,Manager,20000
200185,33,Self Enquiry,1,Small Business,Female,3,3,Basic,4,Divorced,2,0,5,0,0,Executive,17756
200186,40,Self Enquiry,1,Small Business,Female,2,3,Premium,3,Divorced,2,0,5,0,1,VP,34033
200187,55,Self Enquiry,1,Small Business,Male,3,2,Premium,4,Single,1,0,2,0,2,VP,33722
200188,34,Company Invited,1,Salaried,Male,2,4,Premium,3,Divorced,2,0,4,0,0,Manager,24547
200189,51,Self Enquiry,1,Small Business,Female,3,3,Premium,4,Single,4,0,5,0,1,AVP,28734
200190,52,Self Enquiry,1,Salaried,Male,3,4,Premium,3,Divorced,1,0,2,1,0,VP,34999
200191,27,Self Enquiry,1,Small Business,Female,2,3,Basic,4,Single,2,0,3,1,0,Executive,17279
200192,35,Self Enquiry,1,Salaried,Male,2,4,Basic,3,Divorced,4,1,4,1,1,Manager,20916
200193,43,Company Invited,1,Small Business,Male,2,2,Basic,3,Married,5,0,4,0,1,Executive,17089
200194,45,Company Invited,1,Small Business,Male,3,4,Premium,3,Divorced,1,0,4,1,0,AVP,31792
200195,22,Self Enquiry,1,Salaried,Male,3,2,Basic,5,Divorced,2,1,3,0,2,Executive,18564
200196,35,Company Invited,1,Small Business,Female,2,3,Premium,4,Single,6,0,2,1,0,Manager,20000
200197,42,Company Invited,1,Small Business,Female,2,3,Premium,3,Married,3,0,2,0,0,Manager,20265
200198,38,Self Enquiry,1,Salaried,Male,2,3,Basic,3,Divorced,1,0,2,0,1,Manager,21553
200199,38,Self Enquiry,1,Large Business,Male,2,3,Premium,3,Divorced,4,0,2,0,1,Manager,21261
200200,27,Company Invited,1,Large Business,Male,2,4,Premium,5,Divorced,6,0,3,0,1,Manager,20000
200201,49,Company Invited,1,Salaried,Male,3,3,Basic,3,Married,2,1,2,0,1,Manager,21804
200202,30,Company Invited,1,Small Business,Male,2,3,Basic,3,Married,2,1,3,1,0,Executive,16000
200203,40,Self Enquiry,1,Small Business,Male,2,3,Basic,3,Divorced,1,1,2,1,1,Manager,17741
200204,38,Self Enquiry,1,Small Business,Male,3,3,Premium,5,Divorced,1,1,3,0,1,Manager,21673
200205,29,Self Enquiry,3,Small Business,Female,2,3,Premium,3,Divorced,2,0,3,1,1,Senior Manager,22639
200206,22,Self Enquiry,1,Salaried,Male,2,2,Basic,4,Married,2,1,4,0,0,Executive,17328
200207,36,Company Invited,1,Small Business,Female,3,3,Basic,3,Single,2,0,3,1,2,Executive,17153
200208,40,Company Invited,1,Salaried,Male,3,4,Basic,3,Divorced,1,0,5,1,0,Manager,19876
200209,46,Self Enquiry,1,Small Business,Male,3,3,Premium,5,Married,1,0,2,0,0,Senior Manager,24396
200210,32,Self Enquiry,3,Small Business,Male,2,5,Premium,3,Divorced,2,0,2,1,1,Senior Manager,25400
200211,30,Company Invited,1,Salaried,Male,2,4,Premium,3,Unmarried,2,0,5,1,1,Senior Manager,23474
200212,27,Company Invited,3,Salaried,Female,2,3,Premium,3,Unmarried,2,0,2,1,1,Manager,24981
200213,51,Self Enquiry,1,Salaried,Male,2,4,Premium,4,Divorced,6,0,3,1,1,Senior Manager,27490
200214,30,Self Enquiry,1,Large Business,Female,2,3,Basic,5,Single,6,1,4,1,1,Executive,17657
200215,41,Self Enquiry,3,Salaried,Female,3,3,Premium,3,Single,4,1,2,0,1,Senior Manager,28591
200216,30,Company Invited,3,Small Business,Female,2,4,Premium,5,Unmarried,6,0,2,0,1,Manager,21696
200217,29,Self Enquiry,1,Large Business,Male,2,3,Basic,3,Single,1,0,2,0,0,Executive,17058
200218,45,Company Invited,3,Small Business,Female,2,4,Premium,3,Unmarried,7,0,4,1,0,Senior Manager,23865
200219,54,Self Enquiry,3,Small Business,Female,2,3,Premium,5,Divorced,3,0,4,1,1,Manager,20940
200220,36,Self Enquiry,1,Salaried,Male,3,3,Basic,4,Single,1,0,2,0,2,Manager,20914
200221,33,Self Enquiry,1,Small Business,Female,2,4,Basic,4,Divorced,7,0,4,0,0,Executive,17622
200222,37,Company Invited,1,Salaried,Male,2,3,Premium,3,Married,2,1,3,0,1,Senior Manager,27185
200223,38,Self Enquiry,3,Salaried,Male,3,3,Premium,3,Married,1,0,2,1,1,Senior Manager,25609
200224,31,Self Enquiry,1,Small Business,Male,2,5,Premium,3,Divorced,1,0,3,1,0,Manager,20000
200225,59,Self Enquiry,1,Salaried,Male,3,4,Basic,3,Divorced,4,0,3,0,1,Executive,17177
200226,37,Company Invited,3,Small Business,Male,2,3,Basic,3,Married,5,0,4,1,0,Executive,17177
200227,29,Company Invited,3,Small Business,Female,2,3,Premium,3,Divorced,2,0,3,1,0,Senior Manager,22918
200228,35,Company Invited,3,Small Business,Female,3,3,Premium,3,Unmarried,2,0,5,1,0,Senior Manager,23789
200229,29,Self Enquiry,1,Small Business,Male,2,4,Basic,3,Single,2,1,3,0,1,Executive,17389
200230,52,Self Enquiry,1,Salaried,Female,2,4,Basic,3,Single,1,0,3,0,0,Executive,18212
200231,42,Self Enquiry,1,Large Business,Male,2,3,Premium,3,Divorced,2,0,2,0,1,VP,34232
200232,59,Self Enquiry,2,Small Business,Male,2,3,Basic,3,Divorced,1,0,4,1,0,Executive,17267
200233,50,Self Enquiry,3,Small Business,Female,3,3,Premium,3,Married,4,0,2,1,1,VP,34517
200234,33,Self Enquiry,1,Small Business,Male,2,3,Basic,3,Divorced,6,1,2,0,1,Executive,17436
200235,43,Self Enquiry,3,Small Business,Female,3,3,Premium,3,Divorced,6,1,3,0,1,AVP,31064
200236,33,Self Enquiry,1,Salaried,Female,2,3,Basic,5,Divorced,1,0,3,1,0,Executive,17707
200237,52,Company Invited,3,Salaried,Male,3,4,Premium,3,Single,2,1,2,1,2,VP,34068
200238,22,Self Enquiry,3,Salaried,Female,2,3,Basic,4,Divorced,3,0,3,1,0,Executive,16000
200239,22,Self Enquiry,1,Salaried,Male,3,4,Basic,3,Single,1,1,5,1,0,Executive,16000
200240,39,Self Enquiry,1,Small Business,Female,3,3,Basic,3,Married,1,0,3,0,1,Executive,17232
200241,32,Company Invited,3,Small Business,Male,3,3,Premium,3,Divorced,1,0,4,1,2,Manager,20000
200242,41,Self Enquiry,1,Salaried,Male,2,3,Basic,5,Married,3,0,2,1,0,Manager,18072
200243,40,Self Enquiry,1,Large Business,Male,3,3,Basic,3,Married,2,0,3,1,1,Manager,18319
200244,45,Self Enquiry,1,Salaried,Male,3,2,Premium,3,Divorced,1,0,4,1,2,VP,34202
200245,31,Company Invited,1,Small Business,Male,3,3,Premium,3,Married,1,0,4,1,2,Senior Manager,28675
200246,33,Self Enquiry,1,Salaried,Female,3,4,Basic,3,Divorced,2,0,2,0,2,Executive,17911
200247,34,Self Enquiry,1,Salaried,Male,2,4,Basic,5,Divorced,7,0,4,0,1,Manager,20957
200248,30,Self Enquiry,1,Small Business,Female,2,4,Basic,5,Divorced,3,0,4,1,1,Executive,16000
200249,45,Company Invited,1,Salaried,Male,3,2,Basic,3,Divorced,5,0,2,0,2,Manager,21434
200250,37,Company Invited,1,Small Business,Male,3,3,Premium,3,Married,7,0,3,1,2,Senior Manager,25048
200251,39,Company Invited,1,Large Business,Female,3,3,Premium,3,Unmarried,1,0,2,1,1,Senior Manager,25938
200252,29,Self Enquiry,1,Salaried,Male,2,3,Basic,3,Single,2,0,3,0,0,Executive,17340
200253,42,Self Enquiry,1,Salaried,Female,2,2,Basic,5,Unmarried,4,1,2,0,0,Manager,21545
